# Sulphur hexafluoride (SF6) in Gg CO2 equivalent
# :1990:1995:2000:2005:2010:2011:2012
Australia:221:317:200:191:145:134:134
Austria:493:1153:602:517:352:322:326
Belarus::0.01:0.41:1.48:2.42:2.36:2.27
Belgium:1651:2243:151:101:107:116:117
Bulgaria:3.87:5.13:6.80:8.56:13.07:14.87:11.96
Canada:3392:2396:3052:1492:459:422:449
Croatia:11:12:12:14:9:10:10
Cyprus:::0.01:0.07:0.08:0.09:0.09
Czech Republic:79:83:111:113:71:84:92
Denmark:44:108:59:22:38:73:118
Estonia::3.22:2.73:1.08:1.81:1.85:1.96
European Union (15):10980:15486:10515:7755:6185:5994:6042
European Union (28):11172:15814:10905:8210:6656:6466:6451
Finland:115:71:54:66:35:36:37
France:2286:2717:2445:1376:851:665:672
Germany:4642:6779:4269:3480:3194:3316:3307
Greece:3.07:3.59:3.99:6.45:6.14:5.15:5.11
Hungary:88:170:195:238:235:220:153
Iceland:1.15:1.30:1.37:2.64:4.89:3.19:5.57
Ireland:36:83:54:102:35:48:39
Italy:333:601:493:465:373:351:356
Japan:13168:16961:7188:4808:1862:1638:1585
Latvia::0.25:1.28:7.53:13.13:12.45:13.69
Liechtenstein:::0.09:0.27:0.02:0.01:0.00
Lithuania::0.05:0.33:1.35:5.85:8.12:4.19
Luxembourg:1.13:1.55:2.15:5.04:7.39:7.75:8.14
Malta:0.01:1.51:1.54:1.64:1.78:4.81:0.47
Monaco:0.18:0.19:0.19:0.16:0.16:0.16:0.16
Netherlands:218:287:295:240:184:147:196
New Zealand:15:18:11:19:20:18:20
Norway:2200:608:934:312:75:61:60
Poland::31:24:28:37:41:42
Portugal::7:10:26:44:44:45
Romania:0.38:0.77:6.63:12.67:47.53:38.43:40.79
Russian Federation:1202:416:697:1340:668:509:5969
Slovakia:0:10:13:16:20:21:21
Slovenia:10:13:16:19:17:17:17
Spain:67:108:198:225:241:247:220
Sweden:107:127:94:142:72:60:55
Switzerland:144:98:158:213:155:164:224
Turkey:::323:859:876:950:971
Ukraine:0.01:0.07:0.44:4.68:10.18:8.82:11.52
United Kingdom:987:1201:1787:986:648:559:542
United States:32635:27960:18767:14651:9817:10815:8387
