CH:2005:CH4:  3845.00
CH:2005:CO2: 44337.00
CH:2005:N2O:  2996.00
CH:2005:SF6:   213.00
CH:2010:CH4:  3810.00
CH:2010:CO2: 44976.00
CH:2010:N2O:  3098.00
CH:2010:SF6:   155.00
CH:2011:CH4:  3765.00
CH:2011:CO2: 39934.00
CH:2011:N2O:  3032.00
CH:2011:SF6:   164.00
CH:2012:CH4:  3727.00
CH:2012:CO2: 42109.00
CH:2012:N2O:  3025.00
CH:2012:SF6:   224.00
CY:1990:CH4:   910.00
CY:1990:CO2:  4485.00
CY:1990:N2O:   553.00
CY:1995:CH4:  1120.00
CY:1995:CO2:  5625.00
CY:1995:N2O:   628.00
CY:2000:CH4:  1186.00
CY:2000:CO2:  6883.00
CY:2000:N2O:   655.00
CY:2000:SF6:     0.01
CY:2005:CH4:  1277.00
CY:2005:CO2:  7775.00
CY:2005:N2O:   649.00
CY:2005:SF6:     0.07
CY:2010:CH4:  1297.00
CY:2010:CO2:  7755.00
CY:2010:N2O:   630.00
CY:2010:SF6:     0.08
CY:2011:CH4:  1243.00
CY:2011:CO2:  7474.00
CY:2011:N2O:   630.00
CY:2011:SF6:     0.09
CY:2012:CH4:  1306.00
CY:2012:CO2:  7038.00
CY:2012:N2O:   635.00
CY:2012:SF6:     0.09
CZ:1990:CH4: 17985.00
CZ:1990:CO2:161139.00
CZ:1990:N2O: 13504.00
CZ:1990:SF6:    79.00
CZ:1995:CH4: 13493.00
CZ:1995:CO2:121868.00
CZ:1995:N2O:  9388.00
CZ:1995:SF6:    83.00
CZ:2000:CH4: 11229.00
CZ:2000:CO2:118745.00
CZ:2000:N2O:  8784.00
CZ:2000:SF6:   111.00
CZ:2005:CH4: 10656.00
CZ:2005:CO2:119606.00
CZ:2005:N2O:  8541.00
CZ:2005:SF6:   113.00
CZ:2010:CH4: 10494.00
CZ:2010:CO2:111816.00
CZ:2010:N2O:  7719.00
CZ:2010:SF6:    71.00
CZ:2011:CH4: 10385.00
CZ:2011:CO2:107991.00
CZ:2011:N2O:  7872.00
CZ:2011:SF6:    84.00
CZ:2012:CH4: 10314.00
CZ:2012:CO2:103979.00
CZ:2012:N2O:  7739.00
CZ:2012:SF6:    92.00
DE:1990:CH4:108807.00
DE:1990:CO2:1017136.00
DE:1990:N2O: 85724.00
DE:1990:SF6:  4642.00
DE:1995:CH4: 91944.00
DE:1995:CO2:906118.00
DE:1995:N2O: 79607.00
DE:1995:SF6:  6779.00
DE:2000:CH4: 75078.00
DE:2000:CO2:867139.00
DE:2000:N2O: 61662.00
DE:2000:SF6:  4269.00
DE:2005:CH4: 59276.00
DE:2005:CO2:870439.00
DE:2005:N2O: 61208.00
DE:2005:SF6:  3480.00
DE:2010:CH4: 50056.00
DE:2010:CO2:824231.00
DE:2010:N2O: 55035.00
DE:2010:SF6:  3194.00
DE:2011:CH4: 48698.00
DE:2011:CO2:805862.00
DE:2011:N2O: 57338.00
DE:2011:SF6:  3316.00
DE:2012:CH4: 48708.00
DE:2012:CO2:817718.00
DE:2012:N2O: 56307.00
DE:2012:SF6:  3307.00
DK:1990:CH4:  5955.00
DK:1990:CO2: 59466.00
DK:1990:N2O:  9838.00
DK:1990:SF6:    44.00
DK:1995:CH4:  6102.00
DK:1995:CO2: 65718.00
DK:1995:N2O:  8807.00
DK:1995:SF6:   108.00
DK:2000:CH4:  5896.00
DK:2000:CO2: 58498.00
DK:2000:N2O:  8106.00
DK:2000:SF6:    59.00
DK:2005:CH4:  5707.00
DK:2005:CO2: 57102.00
DK:2005:N2O:  6402.00
DK:2005:SF6:    22.00
DK:2010:CH4:  5642.00
DK:2010:CO2: 50085.00
DK:2010:N2O:  6082.00
DK:2010:SF6:    38.00
DK:2011:CH4:  5578.00
DK:2011:CO2: 42721.00
DK:2011:N2O:  6149.00
DK:2011:SF6:    73.00
DK:2012:CH4:  5522.00
DK:2012:CO2: 39948.00
DK:2012:N2O:  6005.00
DK:2012:SF6:   118.00
EE:1990:CH4:  1681.00
EE:1990:CO2: 27879.00
EE:1990:N2O:  2246.00
EE:1995:CH4:   985.00
EE:1995:CO2:  7481.00
EE:1995:N2O:  1060.00
EE:1995:SF6:     3.22
EE:2000:CH4:  1028.00
EE:2000:CO2: 16952.00
EE:2000:N2O:   914.00
EE:2000:SF6:     2.73
EE:2005:CH4:  1013.00
EE:2005:CO2: 11429.00
EE:2005:N2O:   872.00
EE:2005:SF6:     1.08
EE:2010:CH4:   968.00
EE:2010:CO2: 13218.00
EE:2010:N2O:   974.00
EE:2010:SF6:     1.81
EE:2011:CH4:   925.00
EE:2011:CO2: 15537.00
EE:2011:N2O:   979.00
EE:2011:SF6:     1.85
EE:2012:CH4:   932.00
EE:2012:CO2: 15121.00
EE:2012:N2O:  1016.00
EE:2012:SF6:     1.96
ES:1990:CH4: 26391.00
ES:1990:CO2:203995.00
ES:1990:N2O: 26667.00
ES:1990:SF6:    67.00
ES:1995:CH4: 28273.00
ES:1995:CO2:238645.00
ES:1995:N2O: 25419.00
ES:1995:SF6:   108.00
ES:2000:CH4: 31999.00
ES:2000:CO2:276475.00
ES:2000:N2O: 31331.00
ES:2000:SF6:   198.00
ES:2005:CH4: 32906.00
ES:2005:CO2:332823.00
ES:2005:N2O: 27153.00
ES:2005:SF6:   225.00
ES:2010:CH4: 32401.00
ES:2010:CO2:246492.00
ES:2010:N2O: 26160.00
ES:2010:SF6:   241.00
ES:2011:CH4: 32385.00
ES:2011:CO2:246956.00
ES:2011:N2O: 24753.00
ES:2011:SF6:   247.00
ES:2012:CH4: 32454.00
ES:2012:CO2:242786.00
ES:2012:N2O: 24206.00
ES:2012:SF6:   220.00
FI:1990:CH4:  6215.00
FI:1990:CO2: 41674.00
FI:1990:N2O:  8650.00
FI:1990:SF6:   115.00
FI:1995:CH4:  6026.00
FI:1995:CO2: 43825.00
FI:1995:N2O:  8048.00
FI:1995:SF6:    71.00
FI:2000:CH4:  5340.00
FI:2000:CO2: 36326.00
FI:2000:N2O:  7782.00
FI:2000:SF6:    54.00
FI:2005:CH4:  4489.00
FI:2005:CO2: 26619.00
FI:2005:N2O:  8012.00
FI:2005:SF6:    66.00
FI:2010:CH4:  4321.00
FI:2010:CO2: 38013.00
FI:2010:N2O:  6765.00
FI:2010:SF6:    35.00
FI:2011:CH4:  4180.00
FI:2011:CO2: 30903.00
FI:2011:N2O:  6595.00
FI:2011:SF6:    36.00
FI:2012:CH4:  4140.00
FI:2012:CO2: 23499.00
FI:2012:N2O:  6510.00
FI:2012:SF6:    37.00
FR:1990:CH4: 60901.00
FR:1990:CO2:367626.00
FR:1990:N2O: 93000.00
FR:1990:SF6:  2286.00
FR:1995:CH4: 64280.00
